0	1	2
NFATC1	AACS	1.0
NFATC2	AACS	1.0
NFATC3	AACS	1.0
NFE2L1	AACS	1.0
NHLH2	AACS	1.0
NKX1-2	AACS	1.0
NKX3-1	AACS	1.0
NOBOX	AACS	1.0
NOTO	AACS	1.0
NR1H2	AACS	1.0
NR1I2	AACS	1.0
NR2E1	AACS	1.0
NR2E3	AACS	1.0
NR2F2	AACS	1.0
NR2F6	AACS	1.0
NR3C1	AACS	1.0
NR3C2	AACS	1.0
OVOL1	AACS	1.0
PBX1	AACS	1.0
PBX2	AACS	1.0
PHOX2A	AACS	1.0
PHOX2B	AACS	1.0
PITX1	AACS	1.0
PITX2	AACS	1.0
POU1F1	AACS	1.0
POU3F1	AACS	1.0
POU3F3	AACS	1.0
POU4F1	AACS	1.0
POU5F1	AACS	1.0
POU6F1	AACS	1.0
PROP1	AACS	1.0
PRRX1	AACS	1.0
PTF1A	AACS	1.0
PURA	AACS	1.0
RARA	AACS	1.0
RAX	AACS	1.0
RAX2	AACS	1.0
RELB	AACS	1.0
RREB1	AACS	1.0
RUNX1	AACS	1.0
SHOX	AACS	1.0
SHOX2	AACS	1.0
SMAD1	AACS	1.0
SMARCC2	AACS	1.0
SOX12	AACS	1.0
SOX17	AACS	1.0
SOX2	AACS	1.0
SOX3	AACS	1.0
SP1	AACS	1.0
SP2	AACS	1.0
SP3	AACS	1.0
SP4	AACS	1.0
SP8	AACS	1.0
STAT4	AACS	1.0
STAT6	AACS	1.0
TBPL2	AACS	1.0
TBR1	AACS	1.0
TBX2	AACS	1.0
TBX3	AACS	1.0
TCF3	AACS	1.0
TCF4	AACS	1.0
TERF2	AACS	1.0
TFAP2D	AACS	1.0
TFE3	AACS	1.0
THAP1	AACS	1.0
THRA	AACS	1.0
TOPORS	AACS	1.0
TP53	AACS	1.0
TP73	AACS	1.0
UNCX	AACS	1.0
